timestamp,rss_kb,cpu_percent
1772155022,266752,41.6
1772155023,265040,1.2
1772155025,264928,0.0
1772155026,264720,0.0
1772155027,264720,0.1
1772155028,264720,0.0
1772155029,264720,0.0
1772155030,264720,0.0
1772155031,264720,0.1
1772155032,264720,0.0
1772155033,264720,0.0
1772155034,264720,0.1
1772155035,264720,0.0
1772155036,264720,0.0
1772155037,264720,0.1
1772155038,227968,0.1
1772155039,227744,0.1
1772155040,227648,0.1
1772155041,194096,0.0
1772155042,194160,0.2
1772155043,194256,0.4
1772155045,193472,0.0
1772155046,193472,0.0
1772155047,193472,0.1
1772155048,193648,0.0
1772155049,193648,0.0
1772155050,193648,0.0
1772155051,193648,0.0
1772155052,193648,0.0
1772155053,205168,1.8
1772155054,205392,0.2
1772155055,205392,0.0
1772155056,205392,0.0
1772155057,205392,0.1
1772155058,205392,0.0
1772155059,205456,0.0
1772155060,206416,0.2
1772155061,206416,0.0
1772155062,206416,0.1
1772155064,206416,0.5
1772155065,206672,0.7
1772155066,206704,0.0
1772155067,194400,0.0
1772155068,194400,0.0
1772155069,177952,0.0
1772155070,171664,0.0
1772155071,171664,0.0
1772155072,171680,0.0
1772155073,171680,0.0
1772155074,171920,0.0
1772155075,171920,0.0
1772155076,94592,0.0
1772155077,70496,0.0
1772155078,66304,0.0
1772155079,55088,0.0
1772155080,48960,0.0
1772155081,53152,0.0
