timestamp,rss_kb,cpu_percent
1772155089,366496,35.9
1772155090,366512,0.5
1772155091,325456,0.1
1772155092,325488,0.1
1772155093,323120,0.1
1772155094,323280,0.4
1772155096,322304,0.1
1772155097,321936,0.5
1772155098,339440,1.7
1772155099,339584,0.2
1772155100,339792,0.1
1772155101,340416,0.9
1772155102,339104,0.2
1772155103,339744,0.7
1772155104,317280,0.3
1772155105,317024,0.1
1772155106,317024,0.0
1772155107,317568,0.4
1772155108,317568,0.0
1772155109,312752,0.0
1772155110,302496,0.0
1772155111,313152,2.3
1772155112,301536,0.4
1772155114,296464,0.0
1772155115,305632,3.7
1772155116,296464,0.8
1772155117,296560,0.3
1772155118,296688,0.1
1772155119,296688,0.0
1772155120,296224,0.2
1772155121,295856,0.1
1772155122,295856,0.0
1772155123,295856,0.0
1772155124,295888,0.0
1772155125,295888,0.0
1772155126,295888,0.0
1772155127,295904,0.1
1772155128,295904,0.0
1772155129,295872,0.1
1772155130,295872,0.0
1772155131,295872,0.0
1772155132,264720,0.0
1772155134,264720,0.0
1772155135,207600,0.0
1772155136,62208,0.0
1772155137,62304,0.0
1772155138,68528,0.4
1772155139,69088,0.2
1772155140,56464,0.1
1772155141,56512,0.0
1772155142,67088,0.5
1772155143,67104,0.0
1772155144,67104,0.0
1772155145,67104,0.0
1772155146,69408,0.1
1772155147,64256,1.7
1772155148,65392,0.0
