timestamp,rss_kb,cpu_percent
1772154957,68448,1.2
1772154958,68480,0.0
1772154959,68480,0.0
1772154960,68480,0.0
1772154961,68464,0.0
1772154962,68464,0.0
1772154963,68464,0.0
1772154964,68464,0.0
1772154966,68464,0.0
1772154967,68464,0.0
1772154968,68464,0.0
1772154969,68464,0.0
1772154970,68480,0.0
1772154971,68480,0.0
1772154972,65616,0.0
1772154973,62096,0.0
1772154974,60832,0.0
1772154975,60832,0.0
1772154976,60832,0.0
1772154977,60832,0.0
1772154978,60832,0.0
1772154979,60832,0.0
1772154980,60832,0.0
1772154981,60832,0.0
1772154982,60832,0.0
1772154983,60832,0.0
1772154984,60832,0.0
1772154985,60832,0.0
1772154987,60832,0.0
1772154988,60848,0.0
1772154989,60848,0.0
1772154990,60848,0.0
1772154991,60864,0.0
1772154992,60864,0.0
1772154993,60864,0.0
1772154994,60864,0.0
1772154995,60864,0.0
1772154996,60864,0.0
1772154997,60864,0.0
1772154998,60864,0.0
1772154999,60864,0.0
1772155000,60864,0.0
1772155001,60864,0.0
1772155002,60864,0.0
1772155003,60864,0.0
1772155004,60864,0.0
1772155005,60864,0.0
1772155007,60864,0.0
1772155008,60864,0.0
1772155009,58096,0.0
1772155010,58080,0.0
1772155011,58080,0.0
1772155012,58080,0.0
1772155013,58096,0.0
1772155014,58096,0.0
1772155015,58096,0.0
1772155016,58096,0.0
